,KALCODE,neighbors
160,02050207,"['12060201', '02050201', '02010103', '02050207', '02010111', '02050204', '02050202', '02050205', '02050109']"
161,03010101,"['03010201', '03010105', '03010101', '03010202', '03010106', '03010102', '03010104']"
162,03010102,"['03010101', '03010202', '03010102', '03010204', '03010104', '03010103']"
163,03010103,"['03010102', '03010306', '03010204', '03010104', '01040101', '03010103', '03050302', '01040106', '01020210', '01020202', '01020214', '03050102']"
164,03010104,"['03010101', '03010106', '03010102', '03010104', '01040101', '03010103']"
165,03010105,"['03010105', '03010101', '01040107', '03010106']"
166,03010106,"['03010105', '03010101', '01040107', '03010106', '03010104', '01040101']"
167,03010201,"['03010201', '03010203', '03010101', '03010202']"
168,03010202,"['03010201', '03010203', '03010101', '03010202', '03010102', '03010204']"
169,03010203,"['03010303', '03010201', '03010203', '03010202', '03010306', '03010204']"
170,03010204,"['03010203', '03010202', '03010102', '03010306', '03010204', '03010103']"
171,03010301,"['03010303', '03010301', '03010305', '03010302', '03010304', '03010306']"
172,03010302,"['03010301', '03010305', '03010302', '03010304', '03010307']"
173,03010303,"['03010303', '03010203', '03010301', '03010306']"
174,03010304,"['03010301', '03010302', '03010304', '03010306', '03010307']"
175,03010305,"['03010301', '03010305', '03050301', '03010302', '03010307', '03050304']"
176,03010306,"['03010303', '03010203', '03010301', '03010304', '03010306', '03010204', '03010307', '03010103', '03050302']"
177,03010307,"['03010305', '03010302', '03010304', '03010306', '03010307', '03050304', '03050302']"
178,03020101,"['03050202', '03020101', '03020107', '03020105', '03020104']"
179,03020102,"['03050205', '03050204', '03050201', '03020102', '03020108', '03020204']"
180,03020103,"['03020112', '03020105', '03020103', '03020113', '03020104', '03020115']"
181,03020104,"['03020101', '03020107', '03020105', '03020103', '03020106', '03020104', '03020109', '03020115', '03030104', '03030106', '03030102', '03030101', '03030107']"
182,03020105,"['03020112', '03020101', '03020105', '03020103', '03020104']"
183,03020106,"['03020107', '03020108', '03020106', '03020104', '03020109']"
184,03020107,"['03050202', '03020101', '03020107', '03020108', '03020106', '03020104']"
185,03020108,"['03050201', '03050202', '03020102', '03020107', '03020108', '03020204', '03020106', '03020109']"
186,03020109,"['03020108', '03020204', '03020106', '03020104', '03020109', '03020111', '03020206', '03020114', '03030102']"
187,03020110,"['03020110', '03020112', '03020113']"
188,03020111,"['03020109', '03020111', '03020114', '03030102']"
189,03020112,"['03020110', '03020112', '03020105', '03020103', '03020113']"
190,03020113,"['03020110', '03020112', '03020103', '03020113', '03020115']"
191,03020114,"['03020109', '03020111', '03020206', '03020114', '03030102']"
192,03020115,"['03020103', '03020113', '03020104', '03020115', '03030104', '03030106']"
193,03020201,"['03050205', '03020201', '03020208', '03020207', '03020202']"
194,03020202,"['03020201', '03020207', '03020202', '03030303']"
