gasStationID,ddName_01,municipalityName_01,KOD_01,KOD_11,ddName_11,dd_population_11,municipalityCode_11,municipalityName_11,lat_11,lon_11,municipality_population_11,KOD_21,ddName_21,dd_population_21,municipalityCode_21,municipalityName_21,municipality_population_21
1336,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
4864,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
12290,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
4173,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
1337,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
20,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
2300,Δ.Δ. Αιτωλικού,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040100,38010201,Δημοτική Κοινότητα Αιτωλικού,4789,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.4338891534,21.3524925307,33931,38010201,Δημοτική Κοινότητα Αιτωλικού,4813,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
2302,Δ.Δ. Σταμνάς,ΔΗΜΟΣ ΑΙΤΩΛΙΚΟΥ,01040300,38010203,Τοπική Κοινότητα Σταμνάς,902,3801,Δήμος Ιεράς Πόλης Μεσολογγίου,38.5122080799,21.279509103,33931,38010203,Δημοτική Κοινότητα Σταμνάς,808,3801,ΔΗΜΟΣ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,32048
8432,Δ.Δ. Κανδήλας,ΔΗΜΟΣ ΑΛΥΖΙΑΣ,01050100,38070201,Τοπική Κοινότητα Κανδήλας,1051,3807,Δήμος Ξηρομέρου,38.7033688623,20.9461588444,12204,38070201,Δημοτική Κοινότητα Κανδήλας,866,3807,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ,10206
2303,Δ.Δ. Κανδήλας,ΔΗΜΟΣ ΑΛΥΖΙΑΣ,01050100,38070201,Τοπική Κοινότητα Κανδήλας,1051,3807,Δήμος Ξηρομέρου,38.7033688623,20.9461588444,12204,38070201,Δημοτική Κοινότητα Κανδήλας,866,3807,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ,10206
21,Δ.Δ. Κανδήλας,ΔΗΜΟΣ ΑΛΥΖΙΑΣ,01050100,38070201,Τοπική Κοινότητα Κανδήλας,1051,3807,Δήμος Ξηρομέρου,38.7033688623,20.9461588444,12204,38070201,Δημοτική Κοινότητα Κανδήλας,866,3807,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ,10206
22,Δ.Δ. Μύτικα,ΔΗΜΟΣ ΑΛΥΖΙΑΣ,01050400,38070204,Τοπική Κοινότητα Μύτικα,762,3807,Δήμος Ξηρομέρου,38.6700528,20.9461016,12204,38070204,Δημοτική Κοινότητα Μύτικα,708,3807,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ,10206
11011,Δ.Δ. Μύτικα,ΔΗΜΟΣ ΑΛΥΖΙΑΣ,01050400,38070204,Τοπική Κοινότητα Μύτικα,762,3807,Δήμος Ξηρομέρου,38.6700528,20.9461016,12204,38070204,Δημοτική Κοινότητα Μύτικα,708,3807,ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ,10206
