,KALCODE,Result,Average_Fuel_Price
375,23010201,"[2, 0, 1]",1.6350998944776645
376,23010401,"[0, 1]",1.8222156526706657
377,23010501,"[1, 0, 2]",1.7549607312440647
378,23010502,"[2, 1, 0]",1.399608695652174
379,23030204,[0],1.6489387331256486
380,23040101,"[1, 0, 2]",1.818728906039817
381,23040111,"[1, 0]",1.8599999999999999
382,23040205,[0],1.629
383,23050101,"[0, 1]",1.7298208011491447
384,23050205,[0],2.58
385,23050301,"[0, 2, 1]",1.7136382403189065
386,23050307,"[0, 1]",1.6353987752161383
387,23060301,[0],1.71611781445646
388,24010101,"[1, 0]",1.7992597389452936
389,24010201,[0],1.7661294869047621
390,24010401,[0],1.7728595456551897
391,24010701,"[0, 2, 1, 1]",1.8787823576264435
392,24010703,"[1, 2, 0]",1.8180097588978186
393,24010901,"[0, 1]",1.8471222707423576
394,24020101,"[2, 1, 0, 0]",1.8335288889864259
395,24020105,"[1, 0, 2]",1.8227835570469797
396,24020107,"[1, 0]",1.6932354285714286
397,24030101,"[0, 1]",1.8067243888242142
398,24040302,"[0, 1]",1.8156135458167333
399,24040304,"[1, 0]",1.8720409683426444
400,24050101,"[2, 0, 1]",1.7610406062339148
401,24050102,"[2, 1, 0]",1.750858336649423
402,24050201,"[2, 1, 0]",2.1075714285714287
403,24050204,"[0, 1, 2, 1]",1.8099753989361702
404,25010000,[0],1.9632201367205981
405,25020000,[0],2.0946942620610907
406,25030001,"[1, 0]",2.0486944606697817
407,25030002,"[1, 0]",1.9635600600600602
408,25030003,"[0, 1, 2]",2.1716226031377106
409,26010101,"[1, 2, 0]",1.7822434816573955
410,26010201,"[1, 0]",1.6932074263764405
411,26020101,"[1, 0]",1.794537664582741
412,26020104,"[0, 1]",1.785950495049505
413,26020801,"[0, 1]",1.8323072234074975
414,26020805,[0],1.6208123732251523
415,26030101,"[0, 2, 1]",1.7819298384542286
416,26030102,"[0, 1, 2]",1.5342025316455699
417,26030306,"[1, 0]",2.18152998065764
418,26030601,"[0, 1]",1.6966957356895889
419,26040103,"[1, 0]",1.805757341576507
420,26040105,"[1, 0]",1.8655151515151516
421,26040202,"[1, 0]",1.7320174401418855
422,27010101,"[0, 2, 1, 0, 0, 0, 0]",1.8365924703521133
423,27010102,"[0, 2, 1, 0, 0]",1.8838709438131311
424,27010103,"[0, 2, 1, 1]",1.81094711279007
425,27010106,"[0, 2, 1]",1.8254197271839463
426,27010107,"[0, 1, 2, 0, 0]",1.6573900709219858
427,27010110,"[0, 1, 2, 0]",2.000337254901961
428,27010111,"[1, 1, 0, 2, 0, 0, 0]",1.8051181859442575
429,27010112,"[1, 0]",1.881413464275548
430,27010113,"[2, 1, 0]",1.763552556818182
431,27010207,"[1, 0]",1.7719267100977198
432,27010208,"[1, 0]",1.856018445322793
433,27010301,"[1, 0]",2.285
434,27010303,"[0, 1]",1.8562327956989246
435,27010501,[0],1.786446300715991
436,27020101,"[0, 1]",1.8907595730260927
437,27020201,"[0, 2, 1]",1.8652455829554044
438,27020203,[0],1.902637178051512
439,27030101,"[1, 2, 0]",1.8534188089117396
440,27030301,"[2, 0, 1]",1.8025143104943628
441,27030306,"[1, 0, 2]",1.803007705479452
